# source_api_id	status	crystal_refs	notes
benches/bert_benchmark.rs::func::bench_bert	missing	-	baseline
benches/layout_benchmark.rs::func::bench_layout	missing	-	baseline
benches/llama3_benchmark.rs::func::llama3	missing	-	baseline
examples/unstable_wasm/src/lib.rs::func::tokenize	missing	-	baseline
examples/unstable_wasm/src/utils.rs::func::set_panic_hook	missing	-	baseline
src/decoders/bpe.rs::func::new	missing	-	baseline
src/decoders/bpe.rs::method::BPEDecoder.new	missing	-	baseline
src/decoders/bpe.rs::struct::BPEDecoder	missing	-	baseline
src/decoders/byte_fallback.rs::func::new	missing	-	baseline
src/decoders/byte_fallback.rs::method::ByteFallback.new	missing	-	baseline
src/decoders/byte_fallback.rs::struct::ByteFallback	missing	-	baseline
src/decoders/ctc.rs::func::new	missing	-	baseline
src/decoders/ctc.rs::method::CTC.new	missing	-	baseline
src/decoders/ctc.rs::struct::CTC	missing	-	baseline
src/decoders/fuse.rs::func::new	missing	-	baseline
src/decoders/fuse.rs::method::Fuse.new	missing	-	baseline
src/decoders/fuse.rs::struct::Fuse	missing	-	baseline
src/decoders/mod.rs::enum::DecoderHelper	missing	-	baseline
src/decoders/mod.rs::enum::DecoderUntagged	missing	-	baseline
src/decoders/mod.rs::enum::DecoderWrapper	missing	-	baseline
src/decoders/mod.rs::enum::EnumType	missing	-	baseline
src/decoders/mod.rs::struct::Tagged	missing	-	baseline
src/decoders/sequence.rs::func::get_decoders	missing	-	baseline
src/decoders/sequence.rs::func::get_decoders_mut	missing	-	baseline
src/decoders/sequence.rs::func::new	missing	-	baseline
src/decoders/sequence.rs::method::Sequence.new	missing	-	baseline
src/decoders/sequence.rs::struct::Sequence	missing	-	baseline
src/decoders/strip.rs::func::new	missing	-	baseline
src/decoders/strip.rs::method::Strip.new	missing	-	baseline
src/decoders/strip.rs::struct::Strip	missing	-	baseline
src/decoders/wordpiece.rs::func::cleanup	missing	-	baseline
src/decoders/wordpiece.rs::func::new	missing	-	baseline
src/decoders/wordpiece.rs::method::WordPiece.new	missing	-	baseline
src/decoders/wordpiece.rs::struct::WordPiece	missing	-	baseline
src/models/bpe/mod.rs::enum::Error	missing	-	baseline
src/models/bpe/model.rs::func::build	missing	-	baseline
src/models/bpe/model.rs::func::builder	missing	-	baseline
src/models/bpe/model.rs::func::byte_fallback	missing	-	baseline
src/models/bpe/model.rs::func::cache_capacity	missing	-	baseline
src/models/bpe/model.rs::func::clear_cache	missing	-	baseline
src/models/bpe/model.rs::func::continuing_subword_prefix	missing	-	baseline
src/models/bpe/model.rs::func::dropout	missing	-	baseline
src/models/bpe/model.rs::func::end_of_word_suffix	missing	-	baseline
src/models/bpe/model.rs::func::files	missing	-	baseline
src/models/bpe/model.rs::func::from_file	missing	-	baseline
src/models/bpe/model.rs::func::fuse_unk	missing	-	baseline
src/models/bpe/model.rs::func::get_continuing_subword_prefix	missing	-	baseline
src/models/bpe/model.rs::func::get_unk_token	missing	-	baseline
src/models/bpe/model.rs::func::get_vocab	missing	-	baseline
src/models/bpe/model.rs::func::ignore_merges	missing	-	baseline
src/models/bpe/model.rs::func::new	missing	-	baseline
src/models/bpe/model.rs::func::read_file	missing	-	baseline
src/models/bpe/model.rs::func::resize_cache	missing	-	baseline
src/models/bpe/model.rs::func::unk_token	missing	-	baseline
src/models/bpe/model.rs::method::BPE.builder	missing	-	baseline
src/models/bpe/model.rs::method::BpeBuilder.new	missing	-	baseline
src/models/bpe/model.rs::struct::BPE	missing	-	baseline
src/models/bpe/model.rs::struct::BpeBuilder	missing	-	baseline
src/models/bpe/model.rs::type::MergeMap	missing	-	baseline
src/models/bpe/model.rs::type::Merges	missing	-	baseline
src/models/bpe/model.rs::type::Vocab	missing	-	baseline
src/models/bpe/trainer.rs::func::build	missing	-	baseline
src/models/bpe/trainer.rs::func::builder	missing	-	baseline
src/models/bpe/trainer.rs::func::continuing_subword_prefix	missing	-	baseline
src/models/bpe/trainer.rs::func::do_train	missing	-	baseline
src/models/bpe/trainer.rs::func::end_of_word_suffix	missing	-	baseline
src/models/bpe/trainer.rs::func::get_word_count	missing	-	baseline
src/models/bpe/trainer.rs::func::initial_alphabet	missing	-	baseline
src/models/bpe/trainer.rs::func::limit_alphabet	missing	-	baseline
src/models/bpe/trainer.rs::func::max_token_length	missing	-	baseline
src/models/bpe/trainer.rs::func::min_frequency	missing	-	baseline
src/models/bpe/trainer.rs::func::new	missing	-	baseline
src/models/bpe/trainer.rs::func::progress_format	missing	-	baseline
src/models/bpe/trainer.rs::func::show_progress	missing	-	baseline
src/models/bpe/trainer.rs::func::special_tokens	missing	-	baseline
